structure,energy
fe4ll_xtb_dft_sg46_2_2,-1143.459067485069
fe6ll_xtb_dft_sg80_1_1,-2062.619293957871
fe7dd_xtb_dft_sg86_1_0,-2141.136785600081
fe6ll_xtb_dft_sg56_2_2,-1374.326873455554
fe4dd_xtb_dft_sg86_1_1,-2141.136374933854
fe4dd_xtb_dft_sg46_2_2,-1143.458491026486
fe4ll_xtb_dft_sg86_1_0,-2141.135586330898
longC,-1143.487738965716
fe6ll_xtb_dft_sg80_1_0,-2062.609668787319
fe6dd_xtb_dft_sg56_2_2,-1374.331229542272
binolB,-2141.170720014495
fe6dd_xtb_dft_sg80_1_1,-2062.621972926791
fe7ll_xtb_dft_sg56_2_2,-1374.327016439134
fe4ll_xtb_dft_sg86_1_1,-2141.137231650931
binolA,-2062.657607042877
fe7dd_xtb_dft_sg56_2_2,-1374.331219352486
fe4dd_xtb_dft_sg86_1_0,-2141.135991581695
fe7ll_xtb_dft_sg86_1_1,-2141.131730206123
longD,-1374.362890329532
fe6dd_xtb_dft_sg80_1_0,-2062.621994002966
fe7dd_xtb_dft_sg86_1_1,-2141.136601123492
fe7ll_xtb_dft_sg86_1_0,-2141.131636276534
